title,artist,apple_music,soundcloud_status,created,duration_sec,plays,likes,soundcloud_url
Miss Belladonna,Slayyyter,https://music.apple.com/jp/album/miss-belladonna/1822458813,reupload (no official),2023-07-20,250,3181,425,https://soundcloud.com/js0x0/miss-belladonna-slayyyter
Alone,Slayyyter,https://music.apple.com/jp/album/alone/1478323910,reupload (no official),2022-09-09,163,30721,710,https://soundcloud.com/user-749350648/alone
Only In My Mind,Kenya Grace,https://music.apple.com/jp/album/only-in-my-mind/1709758150,OFFICIAL,2023-10-04,161,5353857,63667,https://soundcloud.com/kenyagrace/only-in-my-mind-2
And July (feat. DEAN & dj friz),Heize,https://music.apple.com/jp/album/and-july-feat-dean-dj-friz/1569920323,reupload (no official),2017-04-14,228,71807,1035,https://soundcloud.com/carmlappl/dean-x-heize-and-july
