title,artist,created,genre,duration_sec,plays,likes,url
"Don't Be Afraid Of The Light (ABSL Remix)","I HATE MODELS","2016-08-29","",469,42601,1458,"https://soundcloud.com/ihatemodels/dont-be-afraid-of-the-light-absl-remix"
"Don't Be Afraid Of The Light (Ingen Remix)","I HATE MODELS","2016-08-29","",333,13964,273,"https://soundcloud.com/ihatemodels/dont-be-afraid-of-the-light-ingen-remix"
"Warehouse Memories (Emmanuel AKNF Remix)","I Hate Models","2020-01-10","Electronic",30,4394,160,"https://soundcloud.com/ihatemodels/warehouse-memories-emmanuel"
"Warehouse Memories","I Hate Models","2020-01-10","Electronic",30,17390,720,"https://soundcloud.com/ihatemodels/warehouse-memories"
"Daydream","I Hate Models","2020-01-10","Electronic",30,140402,5279,"https://soundcloud.com/ihatemodels/daydream"
"Shades Of Night","I Hate Models","2020-01-10","Electronic",30,8044,375,"https://soundcloud.com/ihatemodels/shades-of-night"
"A1. Warehouse Memories","I HATE MODELS","2016-07-28","",447,171348,4966,"https://soundcloud.com/ihatemodels/a1-warehouse-memories"
"A2. Warehouse Memories (Emmanuel AKNF Remix)","I HATE MODELS","2016-07-28","",335,32472,778,"https://soundcloud.com/ihatemodels/a2-warehouse-memories-emmanuel-aknf-remix"
"B1. Daydream","I HATE MODELS","2016-07-28","",464,991491,26447,"https://soundcloud.com/ihatemodels/b1-daydream"
"B2. Shades Of Night","I HATE MODELS","2016-07-28","",375,45029,1329,"https://soundcloud.com/ihatemodels/b2-shades-of-night"
