title,artist,created,genre,duration_sec,plays,likes,url
Joy Corporation - Do you Remember (Vintage Culture Rmx),Vintage Culture,2015-08-04,Nu Sexy Disco,304,2539519,43798,https://soundcloud.com/vintageculturemusic/joy-corporation-do-you-remember-vintage-culture-rmx
Betoko - Raining Again (Vintage Culture & Dashdot Remix),Vintage Culture,2015-07-21,Deep House,176,1789117,38378,https://soundcloud.com/vintageculturemusic/betoko-raining-again-vintage-culture-dashdot-remix
Vintage Culture @ SOTRACKBOA GOLD SERIES #57,Vintage Culture,2015-06-23,sotrackboa ,4993,1144640,22405,https://soundcloud.com/vintageculturemusic/vintage-culture-sotrackboa-gold-series-57
Vintage Culture @ Tomorrowland 2015,Vintage Culture,2015-05-04,tomorrowland,3716,8297394,163228,https://soundcloud.com/vintageculturemusic/vintage-culture-tomorrowland-br-2015
"Vintage Culture, Constantinne, Felten - Eyes (Out Now)",Vintage Culture,2015-04-22,vintageculture,230,2790371,48371,https://soundcloud.com/vintageculturemusic/vintage-culture-constantinne-felten-eyes-out-may-11th
Burn (Vintage Culture Goes Tech Remix),"The Miners, Vintage Culture",2019-11-25,Indie,375,2975,77,https://soundcloud.com/vintageculturemusic/burn-vintage-culture-goes-1
Vintage Culture@Warung Day Festival 2015,Vintage Culture,2015-03-23,warungbeachclub,5632,1056620,22234,https://soundcloud.com/vintageculturemusic/vintage-culture-warung-day-festival-2015-curitibapr
"Vintage Culture @ Playa Del Carmen Waves, Mexico Tour 2015",Vintage Culture,2015-02-25,Deep&Techno&House&SOTRACKBOA,5079,669224,14219,https://soundcloud.com/vintageculturemusic/vintage-culture-playa-del-carmen-waves-mexico-tour-2015
Zhu - Faded (Vintage Culture & Zerb Remix),Vintage Culture,2015-02-04,faded,272,8923147,149928,https://soundcloud.com/vintageculturemusic/zhu-faded-vintage-culture-zerb-remix
Vintage Culture @ Pacha Radio Show,Vintage Culture,2015-01-20,Vintage Culture,3592,611528,13229,https://soundcloud.com/vintageculturemusic/vintage-culture-pacha-radio-show-floripa
VINTAGE CULTURE & RE DUPRE - C.R.E.A.M. & LOVE HATERS,Vintage Culture,2015-01-08,NU PIMP DISCO,315,689613,14207,https://soundcloud.com/vintageculturemusic/vintage-culture-re-dupre-cream-love-haters
Vintage Culture - The Sensation EP feat Cahio :: OUT NOW ::,Vintage Culture,2014-12-22,Pirate Wolf,437,345244,6707,https://soundcloud.com/vintageculturemusic/vintage-culture-the-sensation-ep-feat-cahio-out-now
Alternative Kasual - Everyday and Night (Vintage Culture Rmx),Vintage Culture,2014-12-15,House,211,603345,11162,https://soundcloud.com/vintageculturemusic/alternative-kasual-everyday-and-night-vintage-culture-rmx
Burn (Vintage Culture Goes Tech Remix),"The Miners, Vintage Culture",2018-10-05,House,375,16598,214,https://soundcloud.com/vintageculturemusic/burn-vintage-culture-goes-tech
The Miners - Burn (Vintage Culture Goes Tech Remix),Vintage Culture,2014-11-24,Tech House,195,541907,10870,https://soundcloud.com/vintageculturemusic/the-miners-burn-vintage-culture-goes-tech-remix
"Vintage Culture @ XXXperience Festival 2014, Joystage, Arena Maeda, SP",Vintage Culture,2014-11-18,vintageculture,5098,1296870,25013,https://soundcloud.com/vintageculturemusic/vintage-culture-xxxperience-festival-2014
"Vintage Culture, Earstrip e Torha - Sure Thing. feat Ashibah",Vintage Culture,2014-11-10,vintageculture,274,632713,12392,https://soundcloud.com/vintageculturemusic/vintage-culture-earstrip-e-torha-sure-thing-feat-ashibah-out-now
"Vintage Culture, Fernando Olsen - SOS",Vintage Culture,2014-11-05,Blues,403,342954,7666,https://soundcloud.com/vintageculturemusic/vintage-culture-fernando-olsen-sos
"Vintage Culture, Earstrip & Torha, Feat Ellie Ka  - Voices",Vintage Culture,2014-10-20,vintageculture,257,1243093,26201,https://soundcloud.com/vintageculturemusic/vintage-culture-earstrip-torha-feat-ellie-ka-voices
No Hopes - Back to Swag (Vintage Culture Rmx) OUT NOW LO KIK,Vintage Culture,2014-10-06,vintage culture,172,363782,7498,https://soundcloud.com/vintageculturemusic/no-hopes-back-to-swag-vintage-culture-rmx
