title,artist,created,genre,duration_sec,plays,likes,url
"Karma Karma Radio 018","Shimza","2025-01-14","Afrohouse",3489,7275,289,"https://soundcloud.com/shimza/karma-karma-radio-018"
"Karma Karma Radio 017","Shimza","2025-01-07","Afrohouse",3508,6286,247,"https://soundcloud.com/shimza/karma-karma-radio-017"
"Karma Karma Radio 016","Shimza","2024-12-19","Afrohouse",3480,7106,278,"https://soundcloud.com/shimza/karma-karma-radio-016"
"Karma Karma Radio 015","Shimza","2024-12-18","Afrotech",3470,5466,193,"https://soundcloud.com/shimza/karma-karma-radio-015"
"Karma Karma Radio 014","Shimza","2024-12-17","Afrotech",3559,6976,265,"https://soundcloud.com/shimza/karma-karma-radio-014"
"Karma Karma Radio 013","Shimza","2024-12-10","Afrohouse",3536,6338,240,"https://soundcloud.com/shimza/karma-karma-radio-013"
"Karma Karma Radio 012 - Stoffela Guest Mix","Shimza","2024-12-03","Afrohouse",3429,6442,267,"https://soundcloud.com/shimza/karma-karma-radio-012"
"Karma Karma Radio 011","Shimza","2024-11-26","Afrohouse",3539,10050,406,"https://soundcloud.com/shimza/karma-karma-radio-011"
"Karma Karma Radio 010 - Darque Guest Mix","Shimza","2024-11-18","Afrohouse",3482,7456,308,"https://soundcloud.com/shimza/karma-karma-radio-010"
"Karma Karma Radio 009","Shimza","2024-11-12","Afrohouse",3494,13378,495,"https://soundcloud.com/shimza/karma-karma-radio-009"
"Karma Karma Radio 008","Shimza","2024-11-05","Afrotech",3481,8537,314,"https://soundcloud.com/shimza/karma-karma-radio-008"
"Karma Karma Radio 007","Shimza","2024-10-29","Afrohouse",3501,12221,421,"https://soundcloud.com/shimza/karma-karma-radio-007"
"Karma Karma Radio 006","Shimza","2024-10-22","Afrohouse",3487,9216,364,"https://soundcloud.com/shimza/karma-karma-radio-006"
"Karma Karma Radio 005","Shimza","2024-10-14","Afrohouse",3513,7723,332,"https://soundcloud.com/shimza/karma-karma-radio-005"
"Karma Karma Radio 004","Shimza","2024-10-07","Afrotech",3451,9612,379,"https://soundcloud.com/shimza/karma-karma-radio-004"
"Karma Karma Radio 003 - Francis Mercier Guest Mix","Shimza","2024-10-01","Afrotech",3519,10288,422,"https://soundcloud.com/shimza/karma-karma-radio-003"
"Karma Karma Radio 002","Shimza","2024-09-24","Afrotech",3566,11384,492,"https://soundcloud.com/shimza/karma-karma-radio-002"
"Karma Karma Radio 001","Shimza","2024-09-16","Afrotech",3469,10660,415,"https://soundcloud.com/shimza/karma-karma-radio-001"
"BADO","Shimza, CamelPhat, Idd Aziz","2024-09-06","Dance",30,71459,1879,"https://soundcloud.com/shimza/bado"
"Global Residency 035 with Shimza","Shimza","2024-09-02","Afrotech",3481,20982,640,"https://soundcloud.com/shimza/global-residency-035-with-shimza"
"Global Residency 034 with Shimza","Shimza","2024-08-27","Afrohouse",3502,11605,349,"https://soundcloud.com/shimza/global-residency-034-with-shimza"
"Global Residency 033 with Shimza","Shimza","2024-08-19","Afrotech",3507,10967,344,"https://soundcloud.com/shimza/global-residency-033-with-shimza"
"Global Residency 032 with Shimza","Shimza","2024-08-13","Afrohouse",3489,9797,358,"https://soundcloud.com/shimza/global-residency-032-with-shimza"
"Global Residency 031 with Shimza","Shimza","2024-08-06","Afrohouse",3484,14160,490,"https://soundcloud.com/shimza/global-residency-031-with-shimza"
"Global Residency 030 with Shimza","Shimza","2024-07-30","Afrotech",3475,8633,288,"https://soundcloud.com/shimza/global-residency-030-with-shimza"
"Global Residency 029 with Shimza","Shimza","2024-07-23","Afrotech",3459,10802,382,"https://soundcloud.com/shimza/global-residency-029-with-shimza"
"Global Residency 028 with Shimza","Shimza","2024-07-16","Afrohouse",3422,7228,250,"https://soundcloud.com/shimza/global-residency-028-with-shimza"
"Global Residency 027 with Shimza","Shimza","2024-07-09","Afrohouse",3476,8544,309,"https://soundcloud.com/shimza/global-residency-027-with-shimza"
"Global Residency 026 with Shimza","Shimza","2024-07-02","Afrohouse",3450,8140,282,"https://soundcloud.com/shimza/global-residency-026-with-shimza"
"Global Residency 025 with Shimza","Shimza","2024-06-24","Afrohouse",3462,6981,261,"https://soundcloud.com/shimza/global-residency-025-with-shimza"
"Global Residency 024 with Shimza","Shimza","2024-06-17","Afrohouse",3457,7897,282,"https://soundcloud.com/shimza/global-residency-024-with-shimza"
"Shimza Kent inspired Mega Mix","Shimza","2024-06-17","",1122,3874,195,"https://soundcloud.com/shimza/shimza-kent-inspired-mega-mix"
"Global Residency 023 with Shimza (Darque Guest Mix)","Shimza","2024-06-10","Afrohouse",3477,6476,236,"https://soundcloud.com/shimza/global-residency-023-with-shimza-darque-guest-mix"
"Global Residency 022 with Shimza","Shimza","2024-06-04","Afrotech",3522,7510,290,"https://soundcloud.com/shimza/global-residency-022-with-shimza"
"Global Residency 021 with Shimza","Shimza","2024-05-28","Afrohouse",3497,10135,405,"https://soundcloud.com/shimza/global-residency-021-with-shimza"
"Global Residency 020 with Shimza","Shimza","2024-05-21","Afrohouse",3489,11094,372,"https://soundcloud.com/shimza/global-residency-020-with-shimza"
"Parachute","Shimza, Rachel Chinouriri","2024-05-14","Dance",30,12678,440,"https://soundcloud.com/shimza/parachute"
"Global Residency 019 with Shimza","Shimza","2024-05-09","Afrohouse",3501,5213,150,"https://soundcloud.com/shimza/global-residency-019-with-shimza"
"Global Residency 018 with Shimza","Shimza","2024-05-07","Afrohouse",3459,34271,1142,"https://soundcloud.com/shimza/global-residency-018-with-shimza"
"Global Residency 017 with Shimza","Shimza","2024-04-29","Afrotech",3481,6215,249,"https://soundcloud.com/shimza/global-residency-017-with-shimza"
"Global Residency 016 with Shimza","Shimza","2024-04-23","Afrohouse",3475,5774,230,"https://soundcloud.com/shimza/global-residency-016-with-shimza"
"Global Residency 015 with Shimza","Shimza","2024-04-16","Afrohouse",3483,7268,248,"https://soundcloud.com/shimza/global-residency-015-with-shimza"
"Global Residency 014 with Shimza","Shimza","2024-04-09","Afrohouse",3529,6239,245,"https://soundcloud.com/shimza/global-residency-014-with-shimza"
"Global Residency 013 with Shimza","Shimza","2024-04-02","Afrohouse",3525,6674,291,"https://soundcloud.com/shimza/global-residency-013-with-shimza"
"Global Residency 012 with Shimza","Shimza","2024-03-25","Afrohouse",3510,11285,422,"https://soundcloud.com/shimza/global-residency-012-with-shimza"
"Global Residency 011 with Shimza","Shimza","2024-03-19","Afrohouse",3510,5521,201,"https://soundcloud.com/shimza/global-residency-011-with-shimza"
"Global Residency 010 with Shimza","Shimza","2024-03-11","Afrohouse",3485,4718,196,"https://soundcloud.com/shimza/global-residency-010-with-shimza"
"Global Residency 009 with Shimza","Shimza","2024-03-04","Afrohouse",3516,6504,255,"https://soundcloud.com/shimza/global-residency-009-with-shimza"
"Darling","Shimza, Aloe Blacc","2024-02-22","Dance",30,53191,1701,"https://soundcloud.com/shimza/darling"
"Global Residency 008 with Shimza (Dorian Craft Guest Mix)","Shimza","2024-02-27","House",3462,4833,173,"https://soundcloud.com/shimza/global-residency-008-with-shimza-dorian-craft-guest-mix"
"Global Residency 007 with Shimza","Shimza","2024-02-20","Afrohouse",3565,9508,380,"https://soundcloud.com/shimza/global-residency-007-with-shimza"
"Global Residency 006 with Shimza","Shimza","2024-02-13","Afrohouse",3505,5593,231,"https://soundcloud.com/shimza/global-residency-006-with-shimza"
"Global Residency 005 with Shimza (Arodes Guest Mix)","Shimza","2024-02-06","Melodic",3514,12058,487,"https://soundcloud.com/shimza/global-residency-005-with-shimza"
"Global Residency 004 with Shimza","Shimza","2024-01-30","Afrohouse",3525,6132,243,"https://soundcloud.com/shimza/global-residency-004-with-shimza"
"Global Residency 003 with Shimza","Shimza","2024-01-23","Afrohouse",3469,7526,279,"https://soundcloud.com/shimza/global-residency-003-with-shimza"
"Global Residency 002 with Shimza","Shimza","2024-01-16","Afrohouse",3496,11662,410,"https://soundcloud.com/shimza/global-residency-002-with-shimza"
"Global Residency 001 with Shimza","Shimza","2024-01-10","Afrohouse",3496,13853,531,"https://soundcloud.com/shimza/global-residency-001-with-shimza"
"That Organ Track","Shimza","2023-03-16","Dance",417,40244,1216,"https://soundcloud.com/shimza/that-organ-track"
"Higher (Melé Rmx) [feat. Nobuhle]","Shimza featuring Nobuhle","2022-04-05","World",299,13541,373,"https://soundcloud.com/shimza/higher-mele-rmx-mele-rmx-feat"
