title,artist,created,genre,duration_sec,plays,likes,url
No Broke Boys,Disco Lines & Tinashe,2025-06-06,Dance & EDM,164,11231424,201906,https://soundcloud.com/discolines/noobrokeboys
Dare,Sevenn (ERRORR),2024-08-16,,189,46622,1335,https://soundcloud.com/errorrlabel/sevenn-dare
Saga,"Kevin de Vries, Y do I (Afterlife)",2024-09-02,,336,177008,5554,https://soundcloud.com/afterlifeofc/kevin-de-vries-y-do-i-saga
TIK TAK,Topic & SARRA,,,,,,NOT FOUND on SoundCloud (Apple Music only: https://music.apple.com/jp/album/tik-tak/6779640602)
