title,artist,created,genre,duration_sec,plays,likes,url
Rampa - Mod (Keinemusik / KM025),Rampa,2014-11-04,Rampa,439,213217,4394,https://soundcloud.com/rampa/rampa-mod-km025
Dapayk & Padberg - Layers (Rampa Remix) - Mo's Ferry,Rampa,2014-10-21,Dapayk,402,39723,1205,https://soundcloud.com/rampa/dapayk-padberg-layers-rampa-remix-mos-ferry
Rampa - Keep House (Keinemusik KM022),Rampa,2014-03-19,Keep House,181,114277,1869,https://soundcloud.com/rampa/rampa-keep-house-keinemusik
Rampa - Chai Jen Jen (Keinemusik KM022),Rampa,2014-03-19,Rampa,181,81439,1251,https://soundcloud.com/rampa/rampa-chai-jen-jen-keinemusik
Rampa - AY (Keinemusik KM020),Rampa,2013-11-04,Rampa,240,92868,1684,https://soundcloud.com/rampa/rampa-ay-keinemusik-km020
Rampa feat. S.Y.F. - Where Did I Go Wrong (Club Mix) - Defected,Rampa,2013-07-19,Tech House,170,21789,441,https://soundcloud.com/rampa/rampa-feat-s-y-f-where-did-i-1
Rampa feat. S.Y.F. - Where Did I Go Wrong (Original Mix) - Defected,Rampa,2013-07-18,House,172,65375,1817,https://soundcloud.com/rampa/rampa-feat-s-y-f-where-did-i
Monika Kruse feat. Robert Owens - One Love (Rampa remix) - Terminal M,Rampa,2013-06-21,,224,51614,1150,https://soundcloud.com/rampa/monika-kruse-feat-robert-owens
Re.You - Anyway (Rampa Remix) - Mobilee,Rampa,2013-05-08,,171,45296,1225,https://soundcloud.com/rampa/re-you-anyway-rampa-remix
Rampa - Dirty Son - Pets Recordings,Rampa,2013-03-05,,119,16808,364,https://soundcloud.com/rampa/rampa-dirty-son-original-mix
Sante - Homegirl (Rampa Remix) - Defected (Extract),Rampa,2012-10-22,,295,80723,1891,https://soundcloud.com/rampa/sante-homegirl-rampa-remix
"Rampa - Everything feat. Meggy - Medley (Argy Rmx, Mark Fanciulli Rmx, Ramped Up Mix)",Rampa,2012-10-10,,288,58266,1599,https://soundcloud.com/rampa/rampa-everything-medley
Terranova - Hotel Amour - Rampa Mix - Kompakt (preview),Rampa,2012-08-07,,180,24834,510,https://soundcloud.com/rampa/terranova-hotel-amour-rampa
Terranova - Ain t No Thing - Rampa Mix - Kompakt (preview),Rampa,2012-08-04,,164,8827,133,https://soundcloud.com/rampa/terranova-ain-t-no-thing-rampa
Rampa & Hollis P Monroe - Look Out feat. Overnite - Keinemusik,Rampa,2012-06-25,,234,85008,1649,https://soundcloud.com/rampa/rampa-hollis-p-monroe-look-out
Rampa & Re.You - Yeah Yeah Yeah feat. Meggy - Cocoon Recordings (Extract),Rampa,2012-05-08,,126,45826,1039,https://soundcloud.com/rampa/rampa-re-you-yeah-yeah-yeah
Rampa - So Many - Keinemusik (extract),Rampa,2012-04-04,,256,73613,1038,https://soundcloud.com/rampa/rampa-so-many-keinemusik
Rampa - Everything feat. Meggy - Keinemusik (extract),Rampa,2012-04-04,,300,299250,7175,https://soundcloud.com/rampa/rampa-everything-feat-meggy
AKA AKA - Bretterbude (Rampa Remix) - Burlesque,Rampa,2012-04-03,,442,21518,216,https://soundcloud.com/rampa/aka-aka-bretterbude-rampa
Hrdvsion - Right And Tight (Rampa Remix) - Gigolo,Rampa,2012-03-21,,437,19121,228,https://soundcloud.com/rampa/hrdvsion-right-and-tight-rampa
Eva Be - Confusion Of A Lady (Rampa Remix) - Derwin Recordings,Rampa,2012-02-05,,258,19466,332,https://soundcloud.com/rampa/eva-be-confusion-of-a-lady
Rampa & Re.You feat. Kissey - Say My Name - Hive Audio,Rampa,2012-01-16,,515,53735,1344,https://soundcloud.com/rampa/rampa-re-you-feat-kissey-say
R. - Wire - Keinerechte,Rampa,2011-11-22,,419,201517,5318,https://soundcloud.com/rampa/r-wire-keinerechte
Tiefschwarz - Corporate Butcher (Rampa & Re.You Remix) - Watergate Records,Rampa,2011-11-05,,441,24350,433,https://soundcloud.com/rampa/tiefschwarz-corporate-butcher
Michel Cleis - La Mezcla (Rampa & Re.You Remix) - Strictly Rhythm,Rampa,2011-08-02,,164,37262,649,https://soundcloud.com/rampa/michel-cleis-la-mezcla-rampa
Sqim - Forever More (Rampa & Re.You Remix) - Evermore Music,Rampa,2011-06-29,,430,19852,277,https://soundcloud.com/rampa/sqim-forever-more-rampa-re-you
Rampa - Meggy's Desire - Keinemusik,Rampa,2011-06-11,,438,50388,723,https://soundcloud.com/rampa/rampa-meggys-desire-keinemusik
Rampa & Re.You - Feet - Gigolo,Rampa,2011-06-08,,496,10531,180,https://soundcloud.com/rampa/rampa-re-you-feet-gigolo
Rampa & Re.You - Provoking - Gigolo,Rampa,2011-06-08,,553,7091,117,https://soundcloud.com/rampa/rampa-re-you-provoking-gigolo
Rampa - Wrong - In the City Exclusive - Souvenir Music,Rampa,2011-06-08,,343,4366,87,https://soundcloud.com/rampa/rampa-wrong-in-the-city
Who In The Fuck,Rampa & Re.You,2021-06-28,Electronic,461,3181,126,https://soundcloud.com/rampa/who-in-the-fuck
Awareness,Rampa & Re.You,2021-06-28,Electronic,387,2569,85,https://soundcloud.com/rampa/awareness
Larry Peters & Etro Hahn – Nortesur (Rampa & Re.You Remix) - Elevation Recordings,Rampa,2011-02-27,,440,7003,46,https://soundcloud.com/rampa/larry-peters-etro-hahn
Loquace - Synthologie (Re.You & Rampa remix) - Kina Music,Rampa,2011-01-28,,561,7818,88,https://soundcloud.com/rampa/loquace-synthologie-re-you-rampa-remix-kina-music
Tiefschwarz - The Whistler (&ME x Rampa Remix) - Souvenir Music,Rampa,2010-12-21,,434,11180,175,https://soundcloud.com/rampa/tiefschwarz-the-whistler-me-x-rampa-remix-souvenir-music
Playone - Moccoskin (Rampa & Re.you Remix) - Elevation Recordings,Rampa,2010-11-23,,504,8507,108,https://soundcloud.com/rampa/playone-moccoskin-rampa-re-you-remix-elevation-recordings
&Me + Rampa - That's What - Kraftek,Rampa,2010-11-22,,440,4130,70,https://soundcloud.com/rampa/me-rampa-thats-what-kraftek
Rampa - Cheer - Souvenir Plus 04,Rampa,2010-03-22,,433,7719,58,https://soundcloud.com/rampa/rampa-cheer
Rampa - Falk - Workparty One - Keinemusik,Rampa,2010-02-16,,466,32414,236,https://soundcloud.com/rampa/rampa-falk-workparty-one-keinemusik
Nomi & Rampa - Inside (Medley) - Rebirth,Rampa,2009-12-17,,793,16030,310,https://soundcloud.com/rampa/nomi-rampa-inside-medley-rebirth
Santé & Rampa - Aura - Souvenir Music,Rampa,2009-12-02,,438,8706,191,https://soundcloud.com/rampa/sante-rampa-aura-souvenir-music
&ME - On (Adam Port & Rampa Remix) - Front Room Recordings,Rampa,2009-11-10,,461,13069,170,https://soundcloud.com/rampa/me-on-adam-port-rampa-remix-front-room-028
A1 Rampa - Wife (Extract) - Keinemusik,Rampa,2009-07-13,Tech House,121,35567,263,https://soundcloud.com/rampa/a1-rampa-wife-extract
B2 Rampa - Wife (M.in & Patrick Kunkel Remix / Extract) - Keinemusik,Rampa,2009-07-13,Tech House,125,7687,115,https://soundcloud.com/rampa/b2-rampa-wife-m-in-patrick-kunkel-remix-extract
B1 Rampa - Man (Extract) - Keinemusik,Rampa,2009-07-13,Tech House,131,30679,138,https://soundcloud.com/rampa/b1-rampa-man-extract
