title,artist,created,genre,duration_sec,plays,likes,url
"Live melodic house/techno set - DUBAI","Tori Levett","2026-02-27","melodic techno",3654,3410,171,"https://soundcloud.com/torilevett/live-melodic-house-techno-set"
"Live From the Maldives - Melodic Techno DJ set","Tori Levett","2025-05-01","Melodic Techno",3809,2066,87,"https://soundcloud.com/torilevett/live-from-the-maldives-melodic-techno-dj-set"
"PURE IBIZA 94.7 Dubai Live Set 09-01-2025","@pureibizadubai","2025-02-01","Dance & EDM",3407,7481,286,"https://soundcloud.com/torilevett/pure-ibiza-947-dubai-live-set-09-01-2025"
"Live from Bali - Melodic techno and progressive house Mix","Tori Levett","2024-10-08","House",3512,5094,196,"https://soundcloud.com/torilevett/live-from-bali-melodic-techno-and-progressive-house-mix"
"LIVE from ATLAS Bali supporting 19:26 - Melodic Techno Mix","Tori Levett","2024-08-07","Techno",3592,4719,189,"https://soundcloud.com/torilevett/live-from-atlas-bali-supporting-1926-melodic-techno-mix"
"Crazy","Tori Levett","2018-11-15","",215,11999,271,"https://soundcloud.com/torilevett/crazy"
